('Norm: ', 0.0)
('Norm: ', 0.13860357492996186)
('Norm: ', 0.11256159971775212)
('Norm: ', 0.3414192663495921)
('Norm: ', 0.6576104938143621)
('Norm: ', 0.524956957679175)
('Norm: ', 1.3089363923365027)
('Norm: ', 2.0538972957496937)
('Norm: ', 1.0901860789990527)
('Norm: ', 0.9940746062411258)
('Norm: ', 2.017903032453986)
('Norm: ', 0.9954179727684055)
('Norm: ', 2.5734742850648034)
('Norm: ', 5.131808124480698)
('Norm: ', 1.0039074749300094)
('Norm: ', 10.021571528535253)
('Norm: ', 0.9998114237831198)
('Norm: ', 23.3135303848186)
('Norm: ', 1.0943532249598487)
('Norm: ', 42.880351077138855)
('Norm: ', 9.046820349904154)
('Norm: ', 0.0)
('Norm: ', 0.07904760404721921)
('Norm: ', 0.4560970142983115)
('Norm: ', 0.34075945288374515)
('Norm: ', 0.35372106526897557)
('Norm: ', 0.7305863207514093)
('Norm: ', 0.4363752075979761)
('Norm: ', 5.351703138667329)
('Norm: ', 1.4275788614536804)
('Norm: ', 1.043527108170882)
('Norm: ', 1.2707567536639224)
('Norm: ', 0.9697107849175441)
('Norm: ', 0.9911092356190249)
('Norm: ', 0.8262065347601211)
('Norm: ', 1.0210727774868438)
('Norm: ', 2.6931130152390232)
('Norm: ', 6.143311211709074)
('Norm: ', 1.0088727351154634)
('Norm: ', 119.70743563787391)
('Norm: ', 116.46126963786361)
('Norm: ', 1.0010334525329703)
('Norm: ', 0.0)
('Norm: ', 0.3815078888600496)
('Norm: ', 0.24260945337035647)
('Norm: ', 0.518468878664798)
('Norm: ', 0.7029024124615195)
('Norm: ', 0.9467312691667631)
('Norm: ', 0.8743828944570626)
('Norm: ', 0.9323376272567845)
('Norm: ', 0.591921202732254)
('Norm: ', 1.0819910189605744)
('Norm: ', 0.9716875726632918)
('Norm: ', 1.7448830126266843)
('Norm: ', 0.9804362726459026)
('Norm: ', 47.571783476498624)
('Norm: ', 0.9338769359362192)
('Norm: ', 1.5858266069824583)
('Norm: ', 0.9842773311763379)
('Norm: ', 4.831140247657259)
('Norm: ', 0.9977110749308139)
('Norm: ', 142.32801031191968)
('Norm: ', 1.0034808439921108)
('Norm: ', 0.0)
('Norm: ', 0.5230857072332601)
('Norm: ', 0.48696524280964276)
('Norm: ', 0.47650362077237746)
('Norm: ', 0.17120231791310755)
('Norm: ', 0.4203221000845441)
('Norm: ', 1.1278381309973717)
('Norm: ', 0.914824899973124)
('Norm: ', 0.5167807078902111)
('Norm: ', 0.834299341729502)
('Norm: ', 3.770766364347776)
